No of Actors '6863'.
Actor details - FirstName:EuniceLastName:QuedensDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlanLastName:ArkinDob:1934.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CorneliusLastName:van MattemoreDob:1898.
Actor details - FirstName:LeonieLastName:BathiatDob:1898.
Actor details - FirstName:George AugustusLastName:AndrewsDob:1868.
Actor details - FirstName:PedroLastName:ArmendarizDob:1912.
Actor details - FirstName:HenryLastName:ArmettaDob:1888.
Actor details - FirstName:BessLastName:ArmstrongDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Louis `Satchmo'LastName:ArmstrongDob:1900.
Actor details - FirstName:R.G.LastName:ArmstrongDob:1920.
Actor details - FirstName:Donald RobertLastName:SmithDob:1890.
Actor details - FirstName:ToddLastName:ArmstrongDob:1939.
Actor details - FirstName:YvonneLastName:ArnaudDob:1892.
Actor details - FirstName:LucieLastName:ArnazDob:1951.
Actor details - FirstName:DesiderioLastName:Arnaz y de AchaDob:1915.
Actor details - FirstName:DesiLastName:ArnazDob:1953.
Actor details - FirstName:Peter ArneLastName:AlbrechtDob:1920.
Actor details - FirstName:JamesLastName:AurnessDob:1923.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GuentherLastName:SchneiderDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CharlesLastName:ArntDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AntoninLastName:ArtaudDob:1895.
Actor details - FirstName:BerniceLastName:FrankelDob:1923.
Actor details - FirstName:G.K.A.LastName:BrestDob:1899.
Actor details - FirstName:GladysLastName:GreeneDob:1905.
Actor details - FirstName:LindaLastName:Arvidson-GriffithDob:1884.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Dame PeggyLastName:AshcroftDob:1907.
Actor details - FirstName:JaneLastName:AsherDob:1946.
Actor details - FirstName:RenLastName:AshersonDob:1920.
Actor details - FirstName:E.A.LastName:CooperDob:1904.
Actor details - FirstName:ElizabethLastName:ColeDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LukeLastName:AskewDob:.
Actor details - FirstName:ArthurLastName:AskeyDob:1900.
Actor details - FirstName:EdwardLastName:AsnerDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrederickLastName:AusterlitzDob:1899.
Actor details - FirstName:NilsLastName:AstherDob:1897.
Actor details - FirstName:JohnLastName:AstinDob:1930.
Actor details - FirstName:PattyLastName:Duke AstinDob:1946.
Actor details - FirstName:GertrudeLastName:AstorDob:1887.
Actor details - FirstName:LucilleLastName:LangehankeDob:1906.
Actor details - FirstName:WilliamLastName:AthertonDob:1947.
Actor details - FirstName:ChristopherLastName:AtkinsDob:1961.
Actor details - FirstName:EileenLastName:AtkinsDob:1934.
Actor details - FirstName:YasuoLastName:TadorokoDob:1928.
Actor details - FirstName:Sir RichardLastName:AttenboroughDob:1923.
Actor details - FirstName:MalcolmLastName:AtterburyDob:1907.
Actor details - FirstName:EdithLastName:AtwaterDob:1911.
Actor details - FirstName:LionelLastName:AtwillDob:1885.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Ren\'eLastName:AuberjonoisDob:1940.
Actor details - FirstName:LeonoreLastName:AubertDob:1913.
Actor details - FirstName:Anne-Jes\`eLastName:BenardDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VladimirLastName:VujovicDob:1922.
Actor details - FirstName:MaxineLastName:AudleyDob:1923.
Actor details - FirstName:St\'ephaneLastName:AudranDob:1932.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MischaLastName:OunskowskyDob:1905.
Actor details - FirstName:ClaudineLastName:AugerDob:1942.
Actor details - FirstName:MaryLastName:CraggDob:1870.
Actor details - FirstName:Jean-PierreLastName:SalomonsDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DanielLastName:AuteuilDob:.
Actor details - FirstName:GeneLastName:AutryDob:1907.
Actor details - FirstName:FrancisLastName:AvalloneDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DoeLastName:AvedonDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DanLastName:AykroydDob:.
Actor details - FirstName:Felix EdwardLastName:Aylmer JonesDob:1889.
Actor details - FirstName:AgnesLastName:HinkleDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LewisLastName:AyerDob:1908.
Actor details - FirstName:RobertLastName:AyresDob:1914.
Actor details - FirstName:RandleLastName:AyrtonDob:1869.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ShahnourLastName:AznavurjanDob:1924.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1964.
Actor details - FirstName:Betty JeanLastName:PerskeDob:1924.
Actor details - FirstName:BarbaraLastName:BachDob:1951.
Actor details - FirstName:PamelaLastName: BachDob:1962.
Actor details - FirstName:fnLastName:bnDob:1942.
Actor details - FirstName:JimLastName:BackusDob:1913.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HermioneLastName:BaddelyDob:.
Actor details - FirstName:AlanLastName:BadelDob:1923.
Actor details - FirstName:Jacob HenryLastName:BaerDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaxLastName:BaerDob:1909.
Actor details - FirstName:PearlLastName:BaileyDob:1918.
Actor details - FirstName:BarbaraLastName:BainDob:1932.
Actor details - FirstName:FayLastName:BainterDob:1892.
Actor details - FirstName:ScottLastName:BaioDob:1961.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarrolLastName:BakerDob:1931.
Actor details - FirstName:DianeLastName:BakerDob:1936.
Actor details - FirstName:HyldaLastName:BakerDob:1909.
Actor details - FirstName:Joe DonLastName:BakerDob:1943.
Actor details - FirstName:JosephineLastName:BakerDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KennyLastName:BakerDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Sir StanleyLastName:BakerDob:1927.
Actor details - FirstName:TomLastName:BakerDob:1935.
Actor details - FirstName:BobLastName:BalabanDob:1965.
Actor details - FirstName:JillLastName:BalconDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlecLastName:BaldwinDob:195x.
Actor details - FirstName:DanielLastName: BaldwinDob:.
Actor details - FirstName:StephenLastName: BaldwinDob:1963+.
Actor details - FirstName:William (Billy)LastName:BaldwinDob:1963.
Actor details - FirstName:BettyLastName:BalfourDob:1903.
Actor details - FirstName:MireilleLastName:BalinDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LucilleLastName:BallDob:1910.
Actor details - FirstName:VincentLastName:BallDob:*.
Actor details - FirstName:Catherine (Kaye)LastName:BalottaDob:1926.
Actor details - FirstName:MartinLastName:BalsamDob:1919.
Actor details - FirstName:Anna MariaLastName: ItalianoDob:1931.
Actor details - FirstName:GeorgeLastName:BancroftDob:1882.
Actor details - FirstName:LastName:Dob:1960.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TallulahLastName:BankheadDob:1902.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LeslieLastName:BanksDob:1890.
Actor details - FirstName:VilmaLastName:LonchitDob:1902.
Actor details - FirstName:IanLastName:BannenDob:1928.
Actor details - FirstName:JohnLastName:BannerDob:1910.
Actor details - FirstName:TheodosiaLastName:GoodmanDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VannaLastName:BarbaDob:1967.
Actor details - FirstName:AdrienneLastName:BarbeauDob:1949.
Actor details - FirstName:GeorgeLastName:BarbierDob:1865.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CamilleLastName:JavalDob:1933.
Actor details - FirstName:MijanouLastName:JavalDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarjorieLastName:FisherDob:1915.
Actor details - FirstName:NorahLastName:BaringDob:1907.
Actor details - FirstName:ErikLastName:BarkerDob:1912.
Actor details - FirstName:RonnieLastName:BarkerDob:1929.
Actor details - FirstName:AlexanderLastName:BarkerDob:.
Actor details - FirstName:EllenLastName:BarkinDob:1954.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GitelleLastName:BarnesDob:1905.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoannaLastName:BarnesDob:1934.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Jean-LouisLastName:BarraultDob:1910.
Actor details - FirstName:Marie-ChristineLastName:BarraultDob:1944.
Actor details - FirstName:EdithLastName:WilliamsDob:1907.
Actor details - FirstName:LucilleLastName:KellyDob:1914.
Actor details - FirstName:BarbaraLastName:BarrieDob:.
Actor details - FirstName:MonaLastName:SmithDob:1909.
Actor details - FirstName:WendyLastName:JenkinsDob:1912.
Actor details - FirstName:EdgarLastName:BarrierDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EugeneLastName:KlassDob:1921.
Actor details - FirstName:JoanLastName:BarryDob:1903.
Actor details - FirstName:Diane BlancheLastName:Barrymore BlytheDob:1921.
Actor details - FirstName:DrewLastName:BarrymoreDob:1976.
Actor details - FirstName:Edith MaeLastName:BlytheDob:1879.
Actor details - FirstName:JohnLastName:BlytheDob:1882.
Actor details - FirstName:John DrewLastName:Blythe BarrymoreDob:1932.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LionelLastName:BlytheDob:1878.
Actor details - FirstName:HerbertLastName:BlytheDob:.
Actor details - FirstName:PaulLastName:BartelsDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RichardLastName:BarthelmessDob:1895.
Actor details - FirstName:FrederickLastName:LlewellynDob:1924.
Actor details - FirstName:EvaLastName:Sj\"okeDob:1926.
Actor details - FirstName:JamesLastName:BartonDob:1890.
Actor details - FirstName:RichardLastName:BasehartDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KimLastName:BasingerDob:1953.
Actor details - FirstName:WilliamLastName:BasieDob:.
Actor details - FirstName:RichardLastName:BaskinDob:.
Actor details - FirstName:AlfieLastName:BassDob:.
Actor details - FirstName:LenaLastName:BasquetteDob:1907.
Actor details - FirstName:AlbertLastName:BassermanDob:1867.
Actor details - FirstName:AngelaLastName:BassettDob:1958.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlexandraLastName:BastedoDob:1946.
Actor details - FirstName:AlanLastName:BatesDob:1934.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FlorenceLastName:RabeDob:1888.
Actor details - FirstName:KathyLastName:BatesDob:1958.
Actor details - FirstName:MichaelLastName:BatesDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HarryLastName:BaurDob:1880.
Actor details - FirstName:BarbaraLastName:BaxleyDob:.
Actor details - FirstName:AlanLastName:BaxterDob:1908.
Actor details - FirstName:AnnLastName:BaxterDob:1923.
Actor details - FirstName:FeodoraLastName:FordeDob:1909.
Actor details - FirstName:WarnerLastName:BaxterDob:1889.
Actor details - FirstName:RosalbaLastName:NeriDob:.
Actor details - FirstName:NathalieLastName:BayeDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GeoffreyLastName:BayldonDob:1924.
Actor details - FirstName:StephanieLastName:BeachamDob:1949.
Actor details - FirstName:AlexanderLastName:BliedungDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EmanuelleLastName:B\'eartDob:1965.
Actor details - FirstName:LastName:The BeatlesDob:n.a..
Actor details - FirstName:NedLastName:BeattyDob:1937.
Actor details - FirstName:RobertLastName:BeattyDob:1909.
Actor details - FirstName:WarrenLastName:BeatyDob:1937.
Actor details - FirstName:LouiseLastName:BeaversDob:1902.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SidneyLastName:BechetDob:1892.
Actor details - FirstName:JenniferLastName:BeckDob:1974.
Actor details - FirstName:JohnLastName:BeckDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MichaelLastName:BeckDob:1948.
Actor details - FirstName:LastName:Dob:.
