No of Actors '6863'.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FlorenceLastName:KahnDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MadeleineLastName:KahnDob:1942.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HelenaLastName:KallianoitesDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarolLastName:KaneDob:1952.
Actor details - FirstName:HelenLastName:SchroederDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarvinLastName:KaplinDob:1924.
Actor details - FirstName:SashiLastName:KapoorDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Hanne KarinLastName:BeyerDob:1940.
Actor details - FirstName:JohnLastName:KarlenDob:1935.
Actor details - FirstName:MiriamLastName:KarlinDob:1925.
Actor details - FirstName:William HenryLastName:PrattDob:1887.
Actor details - FirstName:RoscoeLastName:KarnsDob:1893.
Actor details - FirstName:AlexLastName:KarrasDob:1935.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HaroldLastName:KasketDob:1916.
Actor details - FirstName:PeterLastName:KastnerDob:1944.
Actor details - FirstName:IsserLastName:KacDob:1913.
Actor details - FirstName:IsserLastName:KacDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilliamLastName:KattDob:1955.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JulieLastName:KavnerDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:David DanielLastName:KaminskyDob:1913.
Actor details - FirstName:StubbyLastName:KayeDob:1918.
Actor details - FirstName:EliaLastName:KazanjoglousDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JamesLastName:KeachDob:.
Actor details - FirstName:StacyLastName:KeachDob:1941.
Actor details - FirstName:Robert EmmettLastName:KeaneDob:1883.
Actor details - FirstName:Joseph FrancisLastName:KeatonDob:1895.
Actor details - FirstName:DianeLastName:HallDob:1949.
Actor details - FirstName:MichaelLastName:KeatonDob:1952.
Actor details - FirstName:StevenLastName:KeatsDob:1945.
Actor details - FirstName:LilaLastName:KedrovaDob:1918.
Actor details - FirstName:HaroldLastName:LeekDob:1917.
Actor details - FirstName:EthelLastName:KeelerDob:1909.
Actor details - FirstName:GeoffreyLastName:KeenDob:1916.
Actor details - FirstName:MalcolmLastName:KeenDob:1888.
Actor details - FirstName:GeorgeLastName:DuryeaDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AndrewLastName:KeirDob:1926.
Actor details - FirstName:HarveyLastName:KeitelDob:1947.
Actor details - FirstName:Robert~jr.LastName:KeithDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KeithLastName:RossDob:1899.
Actor details - FirstName:RobertLastName:KeithDob:1896.
Actor details - FirstName:CecilLastName:KellawayDob:1891.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HelenLastName:KellerDob:1881.
Actor details - FirstName:MartheLastName:KellerDob:1945.
Actor details - FirstName:AnnetteLastName:KellermanDob:1888.
Actor details - FirstName:SallyLastName:KellermanDob:1941.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DeForestLastName:KelleyDob:1920.
Actor details - FirstName:MikeLastName:KellinDob:1922.
Actor details - FirstName:EmmettLastName:KellyDob:1895.
Actor details - FirstName:FrederickLastName:KellyDob:.
Actor details - FirstName:Eugene CurranLastName:KellyDob:1912.
Actor details - FirstName:Princess Grace of MonacoLastName:KellyDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MoiraLastName:KellyDob:1969.
Actor details - FirstName:NancyLastName:KellyDob:1921.
Actor details - FirstName:PatsyLastName:KellyDob:1910.
Actor details - FirstName:PaulLastName:KellyDob:1899.
Actor details - FirstName:PaulaLastName:KellyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TommyLastName:KellyDob:1928.
Actor details - FirstName:MoultrieLastName:KelsallDob:1901.
Actor details - FirstName:FredLastName:KelseyDob:1884.
Actor details - FirstName:PertLastName:KeltonDob:1907.
Actor details - FirstName:GaryLastName:KempDob:1959.
Actor details - FirstName:EdmundLastName:WalkerDob:1934.
Actor details - FirstName:MartinLastName:KempDob:1961.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoanLastName:Kemp-WelchDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CyrusLastName:KendallDob:1898.
Actor details - FirstName:HenryLastName:KendallDob:1887.
Actor details - FirstName:JustineLastName:McCarthyDob:1926.
Actor details - FirstName:FriedaLastName:HarrisonDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ArthurLastName:KennedyDob:1914.
Actor details - FirstName:KeithLastName:DouglasDob:1915.
Actor details - FirstName:EdgarLastName:KennedyDob:1890.
Actor details - FirstName:GeorgeLastName:KennedyDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaudeLastName:KahlerDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JamesLastName:KenneyDob:1930.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:gnLastName:KensitDob:1969.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoanLastName:FieldDob:1921.
Actor details - FirstName:KenethLastName:KentDob:1882.
Actor details - FirstName:DorisLastName:KenyonDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DeborahLastName:Kerr-TrimmerDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:KerrDob:1931.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:J.M.LastName:KerriganDob:1885.
Actor details - FirstName:ArnoldLastName:KaiserDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EvelynLastName:KeyesDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PersisLastName:KhambattaDob:1950.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GuyLastName:KibbeeDob:1882.
Actor details - FirstName:MiltonLastName:GreenwaldDob:.
Actor details - FirstName:MargotLastName:KidderDob:1948.
Actor details - FirstName:NicoleLastName:KidmanDob:1967.
Actor details - FirstName:LastName:Dob:n.a..
Actor details - FirstName:n.a.LastName:n.a.Dob:n.a..
Actor details - FirstName:RichardLastName:KielDob:1939.
Actor details - FirstName:WolfgangLastName:KielingDob:1924.
Actor details - FirstName:PercyLastName:KilbrideDob:1888.
Actor details - FirstName:TerryLastName:KilburnDob:1926.
Actor details - FirstName:RichardLastName:KileyDob:1922.
Actor details - FirstName:VictorLastName:KilianDob:1897.
Actor details - FirstName:ValLastName:KilmerDob:1959.
Actor details - FirstName:PatriciaLastName:ReidDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AnthonyLastName:KimminsDob:1901.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:IrwinLastName:KnibergDob:1924.
Actor details - FirstName:GeorgettaLastName:BarryDob:1915.
Actor details - FirstName:AnitaLastName:KingDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CharlesLastName:KingDob:1889.
Actor details - FirstName:CharlesLastName:KingDob:1899.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PerryLastName:KingDob:1948.
Actor details - FirstName:StephenLastName:KingDob:1940.
Actor details - FirstName:Walter WoolfLastName:KingDob:1899.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WalterLastName:KingsfordDob:1882.
Actor details - FirstName:KrishnaLastName:BanjiDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GregLastName:KinnearDob:1963.
Actor details - FirstName:RoyLastName:KinnearDob:1934.
Actor details - FirstName:LeonidLastName:KinskeyDob:1903.
Actor details - FirstName:Claus GuntherLastName:NakszynskiDob:1926.
Actor details - FirstName:NastassiaLastName:KinskiDob:1959.
Actor details - FirstName:LeeLastName:KinsolvingDob:1938.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PhyllisLastName:KirkegaardDob:1926.
Actor details - FirstName:TommyLastName:KirkDob:1941.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:gnLastName:bnDob:.
Actor details - FirstName:OresteLastName:KirkopDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EarthaLastName:KittDob:1928.
Actor details - FirstName:JohnLastName:KitzmillerDob:1913.
Actor details - FirstName:AlfLastName:KjellinDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RudolfLastName:Klein-RoggeDob:1888.
Actor details - FirstName:WernerLastName:KlempererDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JackLastName:KlugmanDob:1922.
Actor details - FirstName:EvelynLastName:KnappDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DavidLastName:MintzDob:1927.
Actor details - FirstName:EsmondLastName:KnightDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ShirleyLastName:Knight HopkinsDob:1937.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DonLastName:KnottsDob:1924.
Actor details - FirstName:ReginaldLastName:KnowlesDob:1911.
Actor details - FirstName:AlexanderLastName:KnoxDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FredLastName:Kohler sr.Dob:1889.
Actor details - FirstName:ClarenceLastName:KolbDob:1874.
Actor details - FirstName:HenryLastName:KolkerDob:1874.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PhyllisLastName:KonstamDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FordLastName:SterlingDob:n.a..
Actor details - FirstName:MilizaLastName:KorjusDob:1908.
Actor details - FirstName:HarveyLastName:KormanDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Fritz NathanLastName:KohnDob:1892.
Actor details - FirstName:GezaLastName:KaiserDob:1907.
Actor details - FirstName:SylvaLastName:KoscinaDob:1935.
Actor details - FirstName:NicolaiLastName:YoshkinDob:1907.
Actor details - FirstName:LindaLastName:KoslovskiDob:.
Actor details - FirstName:DavidLastName:KossoffDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:YaphetLastName:KottoDob:1937.
Actor details - FirstName:NancyLastName:KovackDob:1935.
Actor details - FirstName:JeroenLastName:KrabbeDob:.
Actor details - FirstName:ErnieLastName:KovacsDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WernerLastName:KraussDob:1884.
Actor details - FirstName:KurtLastName:KreugerDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AliceLastName:KrigeDob:.
Actor details - FirstName:SylviaLastName:KristelDob:1952.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KrisLastName:KristoffersonDob:1936.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlmaLastName:KrugerDob:1868.
Actor details - FirstName:HardyLastName:KrugerDob:1928.
Actor details - FirstName:OttoLastName:KrugerDob:1885.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JackLastName:KruschenDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:YoukiLastName:KudohDob:1971.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NancyLastName:KulpDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NancyLastName:KwanDob:1938.
Actor details - FirstName:BurtLastName:KwoukDob:1930.
Actor details - FirstName:SamLastName:KyddDob:1917.
Actor details - FirstName:MachikoLastName:KyoDob:1924.
Actor details - FirstName:KayLastName:KyserDob:1897.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CatherineLastName:LaceyDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrankLastName:LackteenDob:1894.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlanLastName:LaddDob:1913.
Actor details - FirstName:CherylLastName:StoppelmoorDob:1951.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DianeLastName:LadnierDob:1932.
Actor details - FirstName:PatriciaLastName:LaffanDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:IrvingLastName:LahrheimDob:1895.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Frank PaulLastName:LoVecchioDob:1913.
Actor details - FirstName:JennyLastName:LairdDob:1917.
Actor details - FirstName:ArthurLastName:SilverlakeDob:1905.
Actor details - FirstName:ConstanceLastName:OcklemanDob:1919.
Actor details - FirstName:BarbaraLastName:LaMarrDob:1896.
Actor details - FirstName:HedwigLastName:KieslerDob:1913.
Actor details - FirstName:FernandoLastName:LamasDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GilLastName:LambDob:1906.
Actor details - FirstName:ChristopherLastName:LambertDob:.
Actor details - FirstName:ConstantLastName:LambertDob:1905.
Actor details - FirstName:JackLastName:LambertDob:1899.
Actor details - FirstName:JackLastName:LambertDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LloydLastName:LambleDob:1914.
Actor details - FirstName:DuncanLastName:LamontDob:1918.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DorothyLastName:KaumeyerDob:1914.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BurtLastName:LancasterDob:1913.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElizabethLastName:SullivanDob:1902.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DavidLastName:LandauDob:1878.
Actor details - FirstName:MartinLastName:LandauDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElizabethLastName:KuhneltDob:1904.
Actor details - FirstName:MariaLastName:LandiDob:1937.
Actor details - FirstName:FrancesLastName:RidsteDob:1919.
Actor details - FirstName:CullenLastName:LandisDob:1896.
Actor details - FirstName:Jessie RoyceLastName:MedburyDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MichaelLastName:OrowitzDob:1937.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HarryLastName:AlbershartDob:1901.
Actor details - FirstName:CharlesLastName:LaneDob:1899.
Actor details - FirstName:DianeLastName:LaneDob:1965.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LolaLastName:MulliganDob:1909.
Actor details - FirstName:Henry GeorgeLastName:LupinoDob:1892.
Actor details - FirstName:gnLastName:fnDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PriscillaLastName:MulliganDob:1917.
Actor details - FirstName:RosemaryLastName:MulliganDob:1913.
Actor details - FirstName:RichardLastName:LaneDob:1900.
Actor details - FirstName:fnLastName:LaneDob:.
Actor details - FirstName:TomLastName:LeneskyDob:.
Actor details - FirstName:MathesonLastName:LangDob:1879.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RobertLastName:LangDob:1934.
Actor details - FirstName:GlennLastName:LanganDob:1917.
Actor details - FirstName:HarryLastName:LangdonDob:1884.
Actor details - FirstName:MichaelLastName:LangdonDob:.
Actor details - FirstName:Sue AneLastName:LangdonDob:1940.
Actor details - FirstName:HopeLastName:LangeDob:1931.
Actor details - FirstName:JessicaLastName:LangeDob:1949.
Actor details - FirstName:FrankLastName:LangellaDob:1940.
Actor details - FirstName:FrancesLastName:LangfordDob:1914.
Actor details - FirstName:Emilie CharlotteLastName:LeBretonDob:1853.
Actor details - FirstName:AngelaLastName:LansburyDob:1925.
Actor details - FirstName:JoyceLastName:WassmansdoffDob:1928.
Actor details - FirstName:Robert H.LastName:BroomDob:1929.
Actor details - FirstName:AlfredoLastName:CocozzaDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LauraLastName:LaPlanteDob:1904.
Actor details - FirstName:JaneLastName:LapotaireDob:1941.
Actor details - FirstName:RoderickLastName:LaRocque de la RourDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KeithLastName:LarsenDob:1925.
Actor details - FirstName:LastName:Dob:1959.
Actor details - FirstName:GaspareLastName:BiondolilloDob:1927.
Actor details - FirstName:LouiseLastName:LasserDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PalLastName:Dob:.
Actor details - FirstName:LouiseLastName:LathamDob:.
Actor details - FirstName:DanaLastName:OwensDob:19bb.
Actor details - FirstName:FrankLastName:KlineDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:gnLastName:LatzenDob:.
Actor details - FirstName:ChesterLastName:LauckDob:1902.
Actor details - FirstName:TomLastName:LaughlinDob:1938.
Actor details - FirstName:LastName:Dob:1899.
Actor details - FirstName:CynthiaLastName:LauperDob:1953.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Arthur StanleyLastName:JeffersonDob:1890.
Actor details - FirstName:Stan and OliverLastName:Laurel and HardyDob:n.a..
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RosettaLastName:JacobsDob:1932.
Actor details - FirstName:EdLastName:LauterDob:1940.
Actor details - FirstName:HarryLastName:LauterDob:1920.
Actor details - FirstName:DaliahLastName:LaviDob:1940.
Actor details - FirstName:John PhillipLastName:LawDob:1937.
Actor details - FirstName:PeterLastName:LawfordDob:1923.
Actor details - FirstName:Josephine LawrenceLastName:GoddardDob:1930.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BarbaraLastName:LawrenceDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DelphiLastName:LawrenceDob:1927.
Actor details - FirstName:FlorenceLastName:LawrenceDob:1886.
Actor details - FirstName:Alexandra DagmarLastName:Lawrence-KlasenDob:1898.
Actor details - FirstName:MaxLastName:GoldsmithDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LeighLastName:LawsonDob:1944.
Actor details - FirstName:WilfridLastName:WorsnopDob:1900.
Actor details - FirstName:FrankLastName:LawtonDob:1904.
Actor details - FirstName:GeorgeLastName:LazenbyDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ClorisLastName:LeachmanDob:1926.
Actor details - FirstName:gnLastName:bnDob:1907.
Actor details - FirstName:MichaelLastName:LearnedDob:1939.
Actor details - FirstName:DenisLastName:LearyDob:1958.
Actor details - FirstName:Jean-PierreLastName:L\'eaudDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KellyLastName:LeBrockDob:.
Actor details - FirstName:FrancisLastName:LedererDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoannaLastName:WinnifrithDob:1914.
Actor details - FirstName:BerlindaLastName:LeeDob:1935.
Actor details - FirstName:BillLastName:LeeDob:1928.
Actor details - FirstName:BernardLastName:LeeDob:1908.
Actor details - FirstName:BrandonLastName:LeeDob:1964.
Actor details - FirstName:BruceLastName:LeeDob:1940.
Actor details - FirstName:LionelLastName:CanegataDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ChristopherLastName:LeeDob:1922.
Actor details - FirstName:Cinqu\'eLastName:LeeDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DaveyLastName:LeeDob:1925.
Actor details - FirstName:WilmaLastName:WyattDob:1911.
Actor details - FirstName:DorothyLastName:LeeDob:1911.
Actor details - FirstName:LouiseLastName:HovickDob:1913.
Actor details - FirstName:JoieLastName:LeeDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MicheleLastName:DusiakDob:1942.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NormaLastName:EgstromDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SpikeLastName:LeeDob:.
Actor details - FirstName:RichardLastName:McClellandDob:1922.
Actor details - FirstName:AntoinetteLastName:LeesDob:1914.
Actor details - FirstName:ThelmaLastName:LeedsDob:1914.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:le GallienneLastName:EvaDob:.
Actor details - FirstName:JamesLastName:Le GrosDob:1950.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FritzLastName:LeiberDob:1883.
Actor details - FirstName:RonLastName:LeibmanDob:1937.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeanetteLastName:MorrisonDob:1927.
Actor details - FirstName:JenniferLastName:MorrowDob:1961.
Actor details - FirstName:VivienLastName:HartleyDob:1913.
Actor details - FirstName:BarbaraLastName:Leigh-HuntDob:1935.
Actor details - FirstName:MargaretLastName:LeightonDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrederickLastName:LeisterDob:1885.
Actor details - FirstName:DonovanLastName:LeitchDob:.
Actor details - FirstName:VirginiaLastName:LeithDob:1932.
Actor details - FirstName:PaulLastName:Le MatDob:1952.
Actor details - FirstName:HarveyLastName:LembeckDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JackLastName:LemmonDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RulaLastName:LenskaDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarolineLastName:BlamauerDob:1899.
Actor details - FirstName:KayLastName:LenzDob:1953.
Actor details - FirstName:RickLastName:LenzDob:1939.
Actor details - FirstName:ValerieLastName:LeonDob:.
Actor details - FirstName:MurrayLastName:LeonardDob:1898.
Actor details - FirstName:SheldonLastName:BershadDob:1907.
Actor details - FirstName:T\'eaLastName:LeoniDob:.
Actor details - FirstName:MichaelLastName:LernerDob:.
Actor details - FirstName:MadeleineLastName:LerouxDob:.
Actor details - FirstName:JoanLastName:BrodellDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BruceLastName:ListerDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarkLastName:LesterDob:1958.
Actor details - FirstName:AlLastName:LettieriDob:1927.
Actor details - FirstName:OscarLastName:LevantDob:1906.
Actor details - FirstName:SamLastName:LeveneDob:1905.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DianaLastName:LewisDob:1915.
Actor details - FirstName:FionaLastName:LewisDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1975.
Actor details - FirstName:JosephLastName:LewisDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RonaldLastName:LewisDob:1928.
Actor details - FirstName:SheldonLastName:LewisDob:1868.
Actor details - FirstName:Edward GeraldLastName:LittleDob:1897.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:LeytonDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:gnLastName:bnDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlbertLastName:LievenDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Constance SylviaLastName:MunstonDob:1898.
Actor details - FirstName:Otto ElmoLastName:LinkenhelterDob:1889.
Actor details - FirstName:GunnelLastName:LindblomDob:1931.
Actor details - FirstName:EricLastName:LindenDob:1909.
Actor details - FirstName:HaroldLastName:LipshitzDob:1932.
Actor details - FirstName:JennieLastName:LindenDob:1939.
Actor details - FirstName:CecLastName:LinderDob:1921.
Actor details - FirstName:GabrielLastName:LeuvielleDob:1883.
Actor details - FirstName:VivecaLastName:LindforsDob:1920.
Actor details - FirstName:AudraLastName:LindleyDob:.
Actor details - FirstName:OlgaLastName:LindoDob:1898.
Actor details - FirstName:MargaretLastName:KiesDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VirnaLastName:PieralisiDob:1937.
Actor details - FirstName:FrancisLastName:ListerDob:1899.
Actor details - FirstName:MoiraLastName:ListerDob:1923.
Actor details - FirstName:JohnLastName:LitelDob:1895.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CleavonLastName:LittleDob:1939.
Actor details - FirstName:LucienLastName:LittlefieldDob:1895.
Actor details - FirstName:JackLastName:LiveseyDob:1901.
Actor details - FirstName:RogerLastName:LiveseyDob:1906.
Actor details - FirstName:SamLastName:LiveseyDob:1873.
Actor details - FirstName:MargaretLastName:LivingstonDob:1900.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DorisLastName:LloydDob:1899.
Actor details - FirstName:EmilyLastName:LloydDob:.
Actor details - FirstName:HaroldLastName:LloydDob:1893.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NormanLastName:LloydDob:1914.
Actor details - FirstName:CharlesLastName:PackDob:1905.
Actor details - FirstName:TonyLastName:LoBiancoDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SondraLastName:LockeDob:1947.
Actor details - FirstName:CalvinLastName:LockhartDob:1934.
Actor details - FirstName:GeneLastName:LockhartDob:1891.
Actor details - FirstName:JuneLastName:LockhartDob:1925.
Actor details - FirstName:KathleenLastName:LockhartDob:1893.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:John GaryLastName:YusolfskyDob:1937.
Actor details - FirstName:MargaretLastName:DayDob:1916.
Actor details - FirstName:BarbaraLastName:LodenDob:.
Actor details - FirstName:JohnLastName:LoweDob:1898.
Actor details - FirstName:DavidLastName:LodgeDob:1922.
Actor details - FirstName:JohnLastName:LodgeDob:1903.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RobertLastName:LoganDob:.
Actor details - FirstName:RobertLastName:LoggiaDob:1930.
Actor details - FirstName:MarieLastName:LohrDob:1890.
Actor details - FirstName:GinaLastName:LollobrigidaDob:1927.
Actor details - FirstName:Herbert Charles AngeloLastName:Kuchacevich ze SchluderpacheruDob:1917.
Actor details - FirstName:HerbertLastName:LomasDob:1887.
Actor details - FirstName:KarinaLastName:LombardDob:1969.
